Component,Description,Notes,Quantity,Self Bought?,Price,Shipping,Provider,Link
Headers,,For screen because it doesnt specify coming with some and I am taking zilch chances,1,,£1.14,,AliExpress,https://www.aliexpress.com/item/4000988113226.html?spm=a2g0o.cart.0.0.2f3538daCbb432&mp=1&pdp_npi=5%40dis%21GBP%21GBP%201.08%21GBP%201.08%21%21GBP%201.08%21%21%21%40210385bb17539668072041969ef01d%2110000013202368850%21ct%21UK%21-1%21%211%210
JST PH 2.00mm,PH 2.00mm,To connect the buttons to the PCB,1,,£2.25,,,https://www.aliexpress.com/item/1005007691949301.html?spm=a2g0o.cart.0.0.2f3538daCbb432&mp=1&pdp_npi=5%40dis%21GBP%21GBP%202.25%21GBP%202.25%21%21GBP%202.25%21%21%21%40210385bb17539668072041969ef01d%2112000041868201997%21ct%21UK%21-1%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
Momentary Push Button,Red 5PCS,The actual button,1,,£3.23,,,https://www.aliexpress.com/item/1005008498887267.html?spm=a2g0o.cart.0.0.2f3538daCbb432&mp=1&pdp_npi=5%40dis%21GBP%21GBP%203.23%21GBP%203.23%21%21GBP%203.23%21%21%21%40210385bb17539668072041969ef01d%2112000045421821720%21ct%21UK%21-1%21%211%210
Heat Shrink Tube,164pcs / Mixed size,To cover around the joint for the switch to power on / off the board,1,Yes,£1.28,,,https://www.aliexpress.com/item/1005008146302901.html?spm=a2g0o.cart.0.0.2f3538daCbb432&mp=1&pdp_npi=5%40dis%21GBP%21GBP%201.35%21GBP%201.35%21%21GBP%201.35%21%21%21%40210385bb17539668072041969ef01d%2112000043985559291%21ct%21UK%21-1%21%211%210
Slide Switch,k014a004-G3,"Switching it up here, eh? Lol ok thats enough bad jokes for a day ;-;. To switch on / off the board.",1,Yes,£0.77,,,https://www.aliexpress.com/item/1005008904067609.html?spm=a2g0o.cart.0.0.2f3538daCbb432&mp=1&pdp_npi=5%40dis%21GBP%21GBP%202.09%21GBP%202.01%21%21GBP%202.01%21%21%21%40211b612517539803432976136ea9fd%2112000047164202631%21ct%21UK%21-1%21%211%210
nice!nano v2,But cheaaaper,We luv AliExpress,2,,£3.00,,,https://www.aliexpress.com/item/1005007383270623.html?spm=a2g0o.cart.0.0.2f3538daCbb432&mp=1&pdp_npi=5%40dis%21GBP%21GBP%202.21%21GBP%200.77%21%21GBP%200.77%21%21%21%40211b612517539803432976136ea9fd%2112000047100969961%21ct%21UK%21-1%21%211%210
nice!view,But cheapy,Compatible screen (without headers),2,,£22.69,,,https://www.aliexpress.com/item/1005008115497843.html?spm=a2g0o.cart.0.0.67c738da1ajl1F&mp=1&pdp_npi=5%40dis%21GBP%21GBP%2012.69%21GBP%2012.69%21%21GBP%2012.69%21%21%21%40211b441e17531052016778999e3b33%2112000045912688974%21ct%21UK%216417491436%21%211%210
Micro JST,Male 5 Pcs 100mm,https://learn.adafruit.com/on-slash-off-switches/overview,1,,£0.32,£2.03,,https://www.aliexpress.com/item/1005008864177105.html?spm=a2g0o.cart.0.0.2f3538daCbb432&mp=1&pdp_npi=5%40dis%21GBP%21GBP%200.50%21GBP%200.48%21%21GBP%200.48%21%21%21%40211b612517539804569748830ea9fd%2112000047004685342%21ct%21UK%21-1%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
Micro JST,Female 5 Pcs 100mm,https://learn.adafruit.com/on-slash-off-switches/overview,1,,£0.48,£2.03,,https://www.aliexpress.com/item/1005008864177105.html?spm=a2g0o.cart.0.0.2f3538daCbb432&mp=1&pdp_npi=5%40dis%21GBP%21GBP%200.34%21GBP%200.32%21%21GBP%200.32%21%21%21%40211b612517539804569748830ea9fd%2112000047004685294%21ct%21UK%21-1%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
Push Button,6x6x6mm,For the reset function,1,,£0.74,£2.24,,https://www.aliexpress.com/item/4001224103835.html?spm=a2g0o.cart.0.0.2f3538daCbb432&mp=1&pdp_npi=5%40dis%21GBP%21GBP%200.87%21GBP%200.74%21%21GBP%200.74%21%21%21%40211b612517539804569748830ea9fd%2110000015354836216%21ct%21UK%21-1%21%211%210
"""Supah Powerful"" Disc Magnet",4x3mm 50PCS,To hold the case together,1,Yes,£2.27,,,https://www.aliexpress.com/item/1005009094333864.html?mp=1&pdp_npi=5@dis!GBP!GBP%202.51!GBP%202.27!!GBP%202.27!!!@211b431017540396650977782ea660!12000047894990088!ct!UK!-1!!1!0#nav-specification
Choc Keycaps v1,50 White Transparent,,1,,£21.99,,,https://www.aliexpress.com/item/1005009094333864.html?spm=a2g0o.cart.0.0.202b38dass8E5C&mp=1&pdp_npi=5%40dis%21GBP%21GBP%202.51%21GBP%202.27%21%21GBP%202.27%21%21%21%40211b653717540425242123375e375d%2112000047894990088%21ct%21UK%21-1%21%211%210
1N4148W SOD-123 Diodes,100pcs,,1,,£0.89,,,https://www.aliexpress.com/item/4000685043735.html?spm=a2g0o.cart.0.0.202b38daT3ktnP&mp=1&pdp_npi=5%40dis%21GBP%21GBP%201.12%21GBP%201.12%21%21GBP%201.12%21%21%21%402103919917539949677582414e4da6%2112000037997014577%21ct%21UK%21-1%21%211%210
Self Adhesive Rubber Bumpers,100pcs 5mmx2mm,For PCB and bottom of the case,1,Yes,£1.69,,,https://www.aliexpress.com/item/1005004068119765.html?spm=a2g0o.cart.0.0.202b38daT3ktnP&mp=1&pdp_npi=5%40dis%21GBP%21GBP%201.69%21GBP%201.69%21%21GBP%201.69%21%21%21%402103919917539949677582414e4da6%2112000027931007348%21ct%21UK%21-1%21%211%210
Kalih Hot Swap Socket,50pcs,For switches,1,,£4.89,,,https://www.aliexpress.com/item/1005003575767699.html?spm=a2g0o.cart.0.0.202b38daT3ktnP&mp=1&pdp_npi=5%40dis%21GBP%21GBP%205.23%21GBP%205.23%21%21GBP%205.23%21%21%21%4021039a5b17539968895133158e2a3e%2112000036729252546%21ct%21UK%21-1%21%211%210
FPC Connector,6p/10pcs,"To solder to the PCB, to connect to the TPS43",1,,£0.74,,,https://www.aliexpress.com/item/1005009196851411.html?spm=a2g0o.cart.0.0.202b38daT3ktnP&mp=1&pdp_npi=5%40dis%21GBP%21GBP%200.76%21GBP%200.76%21%21GBP%200.76%21%21%21%4021039a5b17539968895133158e2a3e%2112000048278213710%21ct%21UK%21-1%21%211%210
FPC Ribbon,,The actual ribbon to connect to the TPS43,2,,£3.02,,,https://www.aliexpress.com/item/1005007078121242.html?spm=a2g0o.cart.0.0.202b38daT3ktnP&mp=1&pdp_npi=5%40dis%21GBP%21GBP%204.53%21GBP%201.51%21%21GBP%201.51%21%21%21%4021039a5b17539968895133158e2a3e%2112000039326313061%21ct%21UK%21-1%21%211%210
Kailh Choc Switches,Pink 50pcs,Quitest ones I can find that aren't atrociously priced lol,1,,£18.39,,,https://www.aliexpress.com/item/1005008883418065.html?spm=a2g0o.cart.0.0.625838daNUVlVU&mp=1&pdp_npi=5%40dis%21GBP%21GBP%2023.88%21GBP%2018.39%21%21GBP%2018.39%21%21%21%4021038e6617540461260825371e7581%2112000047082728969%21ct%21UK%21-1%21%211%210
Total (AliExpress),,,,,£82.36,Included on ze left!,,
,,,,,,,,
150mAh 3.7V LiPo Battery,,"I promise, I could find NO batteries on AliExpress that didn't ship in September / around August 30th ;-; (thats still 150mAh, JST connector, right voltage, etc).",2,,£9,£3.90,PiHut,https://thepihut.com/products/150mah-3-7v-lipo-battery?variant=42388690993347
Total (PiHut),,,,,£12.90,,,
,,,,,,,,
TPS43,,Trackpad,2,,£7.90,£12,,
Total (Mouser),,,,,£19.90,,,
,,,,,,,,
PCB Left,,,1,,£6.42,£7.34,JLCPCB,
PCB Right,,,1,,£6.42,,,
Plate Left,,,1,,£5.44,,,
Plate Right,,,1,,£5.44,,,
,,,,,£31.07,Included on ze left!,,
,,,,,,,,
TOTAL,,,,,£146.23,,,
